Open,High,Low,Volume (BTC),Close
4115.92,4115.94,4004.61,971.38,4004.61
4004.61,4066.06,3964.96,918.53,4055
4055,4145.99,4044.66,902.66,4113.09
4105.78,4146,4089.92,607.05,4100
4100,4167.21,4095.9,360.28,4159.98
4159.99,4188,4138.06,238.38,4149.99
4149.99,4163.05,4132.71,504.73,4160
4160,4160,4085.1,411.01,4103.49
4103.48,4127.57,4085.1,367.73,4089
4089,4106.14,4044.66,464.86,4059.54
4050.87,4069,3958,1059.62,3970.26
3970.26,4050,3925.7,747.99,4035
4046.3,4053.3,3964.96,609.69,3999
4002,4085,4000.84,654.98,4049.99
4049.99,4050,3991,358.62,4012.51
4026.46,4026.94,3924.64,647.26,3955.05
3955.05,4125.95,3945.76,1690.05,4100
4093.38,4105,4024.44,996.45,4030
4044.93,4058.99,3995,901.49,4000
4000,4025.01,3900,1494.88,3946
3948,3990,3925.7,765.48,3960.18
3960.36,4019,3950.16,820.18,4010.99
4010.99,4059,4005.55,449.98,4046.33
4046.24,4057.46,4016.01,162.55,4054.4
4053.57,4098.79,4020.14,438.34,4087.96
4087.97,4110.02,4064.87,241.96,4077.2
4077.3,4125.95,4073.22,212.05,4099.99
4099.99,4130,4090.01,437.63,4099.55
4091.99,4102,4027,444.8,4050
4050,4050,4000,555.05,4034.95
4047.65,4065.87,4019.85,195.09,4047.22
4035.1,4070,4011.51,231.76,4032.66
4032.63,4056.18,4030.56,88.95,4046
4040.01,4085.07,4030.47,186.25,4045.98
4045.79,4065.41,4031.36,119.26,4059.99
4049.92,4125.95,4049.21,247.22,4095.76
4094.83,4124.99,4085.14,152.54,4108.03
4108,4118.76,4053.08,134.48,4093.46
4082.29,4105.97,4045,157.26,4056.55
4056.32,4064.94,4004.5,418.14,4044.6
4044.6,4074.98,4012,220.67,4063
4063,4073.3,4000,378.83,4005.43
4018.3,4044.66,4000,247.56,4025.62
4025.65,4044.66,4020,256.95,4040.11
4040.11,4074.81,4025,284.43,4070.41
4056.6,4081.79,4053.94,158.71,4062.99
4062.99,4084.97,4040,182.2,4075.81
4084.97,4125.95,4071.8,649.53,4088.4
4090.94,4106.58,4050,198.42,4061.53
4075,4094.29,4057.26,107.01,4093.27
4093.27,4111.96,4078.68,104.35,4098.97
4091.01,4099.03,4026,518.52,4058.68
4058.64,4075.97,4040,89.11,4075.4
4075.4,4078.71,4048.06,51.05,4062.06
4062.51,4064.78,4016,186.87,4045.49
4037,4052.32,4030.08,39.91,4039.12
4031.66,4063.31,4031.66,95.15,4045.93
4057.49,4057.49,4000.01,639.44,4005
4005.01,4017.22,3949.78,992.07,3999.84
3982.14,4021.93,3980.01,313.34,4014.21
4001.05,4042.05,4001.05,260.25,4042.04
4040.18,4062.26,4033,352.05,4062
4061.98,4075.35,4045,172.1,4061.02
4069.71,4080,4030.05,252.18,4031
4043.64,4054.68,4022.02,278.96,4029.05
4031.01,4047.15,3990,746.14,3997.97
3997.98,4016.03,3969.16,1039.48,4016.02
4012.96,4034.54,4000,758.19,4004.99
4004.99,4017.47,3990,260.01,4002.26
3998.14,4015.05,3975.87,465.92,3988.01
3990,4000.06,3962.21,557.84,4000.06
4000.06,4021.94,3998.66,271.05,4014.21
4003,4018.8,3986.36,328.84,3999
3992.87,4042.05,3992.59,452.67,4015.41
4029.93,4029.93,3989.81,470.8,3997.41
3997.41,4007.11,3962.21,708.64,3987.52
3987.51,3993.4,3846.78,1897.31,3879.54
3883.93,3903.37,3810.25,1164.68,3845.39
3844.99,3899.95,3827.56,576.86,3872.98
3875.78,3891.5,3830.86,423.83,3835.1
3840.07,3841.16,3639.5,2335.79,3645.99
3645.98,3769.44,3600,2068.6,3750.59
3750.59,3845.4,3750.59,1372.85,3799.79
3799.77,3806,3750.69,1171.21,3797
3794.55,3807.23,3753.58,840.15,3795.25
3795.25,3927,3795.25,1509.12,3922.85
3906.74,3922.89,3864.63,493.03,3879.04
3868.52,3903.37,3868.52,381.54,3899
3896.18,3982.02,3885.09,735.05,3970
3969.99,3975.3,3916,490.16,3920
3916,3925,3868.05,724.8,3892.11
3899.89,3922.89,3894.55,399.36,3905.24
3905.02,3962.21,3905,773.33,3945.75
3954.92,4017,3945,994.15,4007.56
4007.56,4136.15,4007.55,2141.4,4110.1
4113.79,4139.31,4082.57,1047.79,4089.61
4089.61,4116,4045.21,573.28,4071.05
4070.01,4105.3,4048,654.19,4083.01
4091.01,4110.01,4045.26,317.23,4051.27
4051.25,4105,4011.09,437.06,4085
4078,4090.69,4051.94,133.24,4062.82
4063,4134,4062.52,219.2,4133.99
4133.54,4139.97,4055.2,424.83,4097.07
